ChemicalName,Formula,Synonyms,CatalogCode,CompanyName,Grade,Disposal,CAS,Class,CompatibleFamily,SignalWord,HazardStatement,GHSCodes,SDSURL,School,StoreRoom,Shelf,UOM,LastUsed,MinReorderAmount,Amount,Notes,KitCatalog
Calcium chloride dihydrate,CaCl2.2H2O,(Crystals/Powder/Granules/USP/FCC/EP/Certified ACS),,JT Baker,,,10035-04-8,Metal-containing compound,,Warning,Causes serious eye irritation,IR,https://www.fishersci.com/store/msds?partNumber=C793&productDescription=cal-chloride-dihyd-cr-acs-kg&vendorId=VN00033897&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,A-3,lb,,,1,"Keep containers tightly closed in a dry, cool and well-ventilated place. Store under an inert atmosphere. Air sensitive. Incompatible Materials. Strong oxidizing agents.",
"Calcium chloride, anhydrous",CaCl2,"Dowflake
Calpus
Caltac",,Acros,,,10043-52-4,Metal-containing compound,,Warning,"May form combustible dust in air
Causes serious eye irritation
Combustible dust",IR,https://www.fishersci.com/store/msds?partNumber=AA12316A1&productDescription=clcm-chloride-anhyd-kg&vendorId=VN00024248&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,A-3,g,,,250,"Keep containers tightly closed in a dry, cool and well-ventilated place. Incompatible Materials. Strong oxidizing agents. Metals.",
Calcium nitrate tetrahydrate,CaN2O6.4H2O,"Calcium dini
Nitric acid, calcium salt, tetrahydrate
Norwegian saltpeter tetrahydrate",,Mallinckrodt ,,,13477-34-4,Metal-containing compound,,Danger,"Harmful if swallowed
Causes serious eye damage","IR, CO",https://www.fishersci.com/store/msds?partNumber=C1093&productDescription=calcium-nitrate-cert-acs-kg&vendorId=VN00033897&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,A-3,g,,,200,"Do not store near combustible materials. Keep containers tightly closed in a dry, cool and well-ventilated place. Incompatible Materials. Strong reducing agents. Combustible material. Strong bases.",
Cobalt(II) nitrate hexahydrate,CoN2O6.6H2O,Cobaltous nitrate hexahydrate,,Fisher,,,10026-22-9,Metal-containing compound,,Danger,"May intensify fire; oxidizer
May cause an allergic skin reaction
May damage fertility
Causes serious eye damage
May cause allergy or asthma symptoms or breathing difficulties if inhaled
Suspected of causing genetic defects
May cause cancer
Harmful if swallowed","OX, IR, CA, CO",https://www.fishersci.com/store/msds?partNumber=AC219215000&productDescription=cobalt-ii-nitrate-hexah-gr&vendorId=VN00032119&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,A-3,g,,,250,"Keep containers tightly closed in a dry, cool and well-ventilated place. Do not store near combustible materials. Incompatible Materials. Strong oxidizing agents. Strong reducing agents. Combustible material.",
Cobalt(II) nitrate hexahydrate,CoN2O6.6H2O,Cobaltous nitrate hexahydrate,,Fisher,,,10026-22-9,Metal-containing compound,,Danger,"May intensify fire; oxidizer
May cause an allergic skin reaction
May damage fertility
Causes serious eye damage
May cause allergy or asthma symptoms or breathing difficulties if inhaled
Suspected of causing genetic defects
May cause cancer
Harmful if swallowed","OX, IR, CA, CO",https://www.fishersci.com/store/msds?partNumber=AC219215000&productDescription=cobalt-ii-nitrate-hexah-gr&vendorId=VN00032119&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,A-3,g,,,250,"Keep containers tightly closed in a dry, cool and well-ventilated place. Do not store near combustible materials. Incompatible Materials. Strong oxidizing agents. Strong reducing agents. Combustible material.",
Copper(II) chloride dihydrate,Cl2Cu.2H2O,Cupric chloride dihydrate,,Aesar,,,10125-13-0,Metal-containing compound,,Danger,"Causes skin irritation
Causes serious eye damage
Harmful if swallowed","IR, CO",https://www.fishersci.com/store/msds?partNumber=AC315280025&productDescription=copper-ii-chloride-dihyd-g&vendorId=VN00032119&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,A-3,g,,,250,"Keep in a dry, cool and well-ventilated place. Keep container tightly closed. Store contents under argon. Corrosives area. Do not store in metal containers. Store under an inert atmosphere. Air sensitive. Incompatible Materials. Strong oxidizing agents. Metals.",
Copper(II) chloride dihydrate,Cl2Cu.2H2O,Cupric chloride dihydrate,,Aesar,,,10125-13-0,Metal-containing compound,,Danger,"Causes skin irritation
Causes serious eye damage
Harmful if swallowed","IR, CO",https://www.fishersci.com/store/msds?partNumber=AC315280025&productDescription=copper-ii-chloride-dihyd-g&vendorId=VN00032119&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,A-3,g,,,250,"Keep in a dry, cool and well-ventilated place. Keep container tightly closed. Store contents under argon. Corrosives area. Do not store in metal containers. Store under an inert atmosphere. Air sensitive. Incompatible Materials. Strong oxidizing agents. Metals.",
Copper(II) chloride dihydrate,Cl2Cu.2H2O,Cupric chloride dihydrate,,Aesar,,,10125-13-0,Metal-containing compound,,Danger,"Causes skin irritation
Causes serious eye damage
Harmful if swallowed","IR, CO",https://www.fishersci.com/store/msds?partNumber=AC315280025&productDescription=copper-ii-chloride-dihyd-g&vendorId=VN00032119&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,A-3,g,,,250,"Keep in a dry, cool and well-ventilated place. Keep container tightly closed. Store contents under argon. Corrosives area. Do not store in metal containers. Store under an inert atmosphere. Air sensitive. Incompatible Materials. Strong oxidizing agents. Metals.",
Copper(II) nitrate hemi(pentahydrate),CuN2O6.2.5H2O,Cupric nitrate,,Fisher,,,19004-19-4,Metal-containing compound,,Danger,"May intensify fire; oxidizer
Causes severe skin burns and eye damage
May cause respiratory irritation","OX, CO, IR",https://www.fishersci.com/store/msds?partNumber=AAA140040I&productDescription=cppr-ii-nrate-hemi-penthyd-kg&vendorId=VN00024248&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,A-3,g,,,250,"Keep containers tightly closed in a dry, cool and well-ventilated place. Corrosives area. Do not store near combustible materials. Incompatible Materials. Strong oxidizing agents. Strong reducing agents. Ammonia. Cyanides. Acid anhydrides. Combustible material.",
Copper(II) nitrate hemi(pentahydrate),CuN2O6.2.5H2O,Cupric nitrate,,Fisher,,,19004-19-4,Metal-containing compound,,Danger,"May intensify fire; oxidizer
Causes severe skin burns and eye damage
May cause respiratory irritation","OX, CO, IR",https://www.fishersci.com/store/msds?partNumber=AAA140040I&productDescription=cppr-ii-nrate-hemi-penthyd-kg&vendorId=VN00024248&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,A-3,g,,,250,"Keep containers tightly closed in a dry, cool and well-ventilated place. Corrosives area. Do not store near combustible materials. Incompatible Materials. Strong oxidizing agents. Strong reducing agents. Ammonia. Cyanides. Acid anhydrides. Combustible material.",
"Copper(II) nitrate, trihydrate",CuN2O6.3H2O,Cupric nitrate,,JT Baker,,,10031-43-3,Metal-containing compound,,Danger,"May intensify fire; oxidizer
Causes severe skin burns and eye damage
May cause respiratory irritation","OX, CO, IR",https://www.fishersci.com/store/msds?partNumber=AC453960010&productDescription=copper-ii-nitrate-trihy-kg&vendorId=VN00032119&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,A-3,lb,,,0.5,"Keep containers tightly closed in a dry, cool and well-ventilated place. Keep in properly labeled containers. Do not store near combustible materials. Corrosives area. Incompatible Materials. Ammonia. Cyanides. Acid anhydrides. Strong reducing agents. Combustible material.",
Cupric sulfate pentahydrate,CuO4S.5H2O,"Copper(II) sulfate pentahydrate
Blue vitriol (Crystalline/Powder/Granular/Technical/USP/EP/BP/Certified ACS)",,Fisher,,,7758-99-8,Metal-containing compound,,Danger,"Harmful if swallowed
Causes serious eye damage","IR, CO",https://www.fishersci.com/store/msds?partNumber=C4933&productDescription=cupric-sulfate-cert-acs-g&vendorId=VN00033897&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,A-3,g,,,500,"Keep containers tightly closed in a dry, cool and well-ventilated place. Store under an inert atmosphere. Air sensitive. Incompatible Materials. Strong oxidizing agents.",
Cupric sulfate pentahydrate,CuO4S.5H2O,"Copper(II) sulfate pentahydrate
Blue vitriol (Crystalline/Powder/Granular/Technical/USP/EP/BP/Certified ACS)",,Fisher,,,7758-99-8,Metal-containing compound,,Danger,"Harmful if swallowed
Causes serious eye damage","IR, CO",https://www.fishersci.com/store/msds?partNumber=C4933&productDescription=cupric-sulfate-cert-acs-g&vendorId=VN00033897&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,A-3,g,,,500,"Keep containers tightly closed in a dry, cool and well-ventilated place. Store under an inert atmosphere. Air sensitive. Incompatible Materials. Strong oxidizing agents.",
Ferric Nitrate Nonahydrate (Certified ACS),FeN3O9.9H2O,Iron (III) nitrate nonahydrate (Crystalline/Certified ACS),,Fisher,,,7782-61-8,Metal-containing compound,,Warning,"May intensify fire; oxidizer
Causes skin irritation
Causes serious eye irritation
May cause respiratory irritation","OX, IR",https://www.fishersci.com/store/msds?partNumber=I110500&productDescription=ferric-nitrate-cert-acs-g&vendorId=VN00033897&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,A-3,g,,,100,"Store under an inert atmosphere. Air sensitive. Keep containers tightly closed in a dry, cool and well-ventilated place. Do not store near combustible materials. Incompatible Materials. Strong oxidizing agents. Combustible material. Organic materials. Strong reducing agents.",
Ferric Nitrate Nonahydrate (Certified ACS),FeN3O9.9H2O,Iron (III) nitrate nonahydrate (Crystalline/Certified ACS),,Fisher,,,7782-61-8,Metal-containing compound,,Warning,"May intensify fire; oxidizer
Causes skin irritation
Causes serious eye irritation
May cause respiratory irritation","OX, IR",https://www.fishersci.com/store/msds?partNumber=I110500&productDescription=ferric-nitrate-cert-acs-g&vendorId=VN00033897&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,A-3,g,,,100,"Store under an inert atmosphere. Air sensitive. Keep containers tightly closed in a dry, cool and well-ventilated place. Do not store near combustible materials. Incompatible Materials. Strong oxidizing agents. Combustible material. Organic materials. Strong reducing agents.",
Lanthanum(III) nitrate hexahydrate,Molecular Formula not found,Lanthanum trinitrate hexahydrate.,,Aesar,,,10277-43-7,Inorganic salt,,Warning,"May intensify fire; oxidizer
Causes skin irritation
Causes serious eye irritation
May cause respiratory irritation","OX, IR",https://www.fishersci.com/store/msds?partNumber=AA1291536&productDescription=lanth-iii-nrate-hxhy--g&vendorId=VN00024248&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,A-4,g,,,100,"Keep containers tightly closed in a dry, cool and well-ventilated place. Do not store near combustible materials. Incompatible Materials. Strong acids. Strong reducing agents. Health 2 Flammability 0 Instability 0 Physical hazards OX Lanthanum(III) nitrate hexahydrate   Finely powdered metals. Combustible material.",
Magnesium carbonate,CMgO3,No information available,,Strem,,,546-93-0,Metal-containing compound,,None,None Identified,[],https://www.fishersci.com/store/msds?partNumber=AC439130010&productDescription=magnesium-carbonate-gr&vendorId=VN00032119&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,A-4,g,,,500,"Keep containers tightly closed in a dry, cool and well-ventilated place. Incompatible Materials. Strong oxidizing agents. Acids.",
Magnesium carbonate,CMgO3,No information available,,Strem,,,546-93-0,Metal-containing compound,,None,None Identified,[],https://www.fishersci.com/store/msds?partNumber=AC439130010&productDescription=magnesium-carbonate-gr&vendorId=VN00032119&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,A-4,g,,,500,"Keep containers tightly closed in a dry, cool and well-ventilated place. Incompatible Materials. Strong oxidizing agents. Acids.",
Magnesium chloride hexahydrate,MgCl2.6H2O,Magnesium dichloride hexahydrate,,Fisher,,,7791-18-6,Metal-containing compound,,None,None Identified,[],https://www.fishersci.com/store/msds?partNumber=M33500&productDescription=magnesium-chloride-acs-g&vendorId=VN00033897&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,A-4,g,,,250,"Keep containers tightly closed in a cool, well-ventilated place. Incompatible Materials. Metals.",
Magnesium nitrate hexahydrate,MgN2O6.6H2O,"Magnesium dinitrate hexahydrate
Nitric acid, magnesium salt hexahydrate.",,Aesar,,,13446-18-9,Metal-containing compound,,None,None Identified,[],https://www.fishersci.com/store/msds?partNumber=AA1156418&productDescription=magnesium-nitrate-acs-g&vendorId=VN00024248&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,A-4,g,,,250,"Keep containers tightly closed in a dry, cool and well-ventilated place. Incompatible Materials. Strong acids. Strong reducing agents. Organic materials. Finely powdered metals.",
Magnesium nitrate hexahydrate,MgN2O6.6H2O,"Magnesium dinitrate hexahydrate
Nitric acid, magnesium salt hexahydrate.",,Aesar,,,13446-18-9,Metal-containing compound,,None,None Identified,[],https://www.fishersci.com/store/msds?partNumber=AA1156418&productDescription=magnesium-nitrate-acs-g&vendorId=VN00024248&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,A-4,g,,,250,"Keep containers tightly closed in a dry, cool and well-ventilated place. Incompatible Materials. Strong acids. Strong reducing agents. Organic materials. Finely powdered metals.",
Magnesium oxide,MgO,Magnesia.,,Aesar,,,1309-48-4,Metal-containing compound,,None,None Identified,[],https://www.fishersci.com/store/msds?partNumber=AA3544222&productDescription=magnesium-oxide-acs-g&vendorId=VN00024248&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,A-4,g,,,100,"Keep containers tightly closed in a dry, cool and well-ventilated place. Incompatible Materials. Strong oxidizing agents. Strong acids. Water.",
Magnesium oxide,MgO,Magnesia.,,Aesar,,,1309-48-4,Metal-containing compound,,None,None Identified,[],https://www.fishersci.com/store/msds?partNumber=AA3544222&productDescription=magnesium-oxide-acs-g&vendorId=VN00024248&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,A-4,g,,,100,"Keep containers tightly closed in a dry, cool and well-ventilated place. Incompatible Materials. Strong oxidizing agents. Strong acids. Water.",
Magnesium oxide,MgO,Magnesia.,,Aesar,,,1309-48-4,Metal-containing compound,,None,None Identified,[],https://www.fishersci.com/store/msds?partNumber=AA3544222&productDescription=magnesium-oxide-acs-g&vendorId=VN00024248&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,A-4,g,,,100,"Keep containers tightly closed in a dry, cool and well-ventilated place. Incompatible Materials. Strong oxidizing agents. Strong acids. Water.",
Magnesium oxide,MgO,Magnesia.,,Aesar,,,1309-48-4,Metal-containing compound,,None,None Identified,[],https://www.fishersci.com/store/msds?partNumber=AA3544222&productDescription=magnesium-oxide-acs-g&vendorId=VN00024248&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,A-4,g,,,100,"Keep containers tightly closed in a dry, cool and well-ventilated place. Incompatible Materials. Strong oxidizing agents. Strong acids. Water.",
Magnesium Sulfate Heptahydrate (Certified ACS),MgO4S.7H2O,No information available,,Fisher,,,10034-99-8,Metal-containing compound,,None,None Identified,[],https://www.fishersci.com/store/msds?partNumber=M6350&productDescription=magnesium-sulfate-cert-acs-kg&vendorId=VN00000001&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,A-4,g,,,500,"Keep containers tightly closed in a dry, cool and well-ventilated place. Incompatible Materials. Strong bases.",
Magnesium Sulfate Heptahydrate (Certified ACS),MgO4S.7H2O,No information available,,Fisher,,,10034-99-8,Metal-containing compound,,None,None Identified,[],https://www.fishersci.com/store/msds?partNumber=M6350&productDescription=magnesium-sulfate-cert-acs-kg&vendorId=VN00000001&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,A-4,g,,,500,"Keep containers tightly closed in a dry, cool and well-ventilated place. Incompatible Materials. Strong bases.",
"Magnesium sulfate, anhydrous",MgO4S,"Epsom salts.
Magnesium sulfate",,Fisher,,,7487-88-9,Metal-containing compound,,None,None Identified,[],https://www.fishersci.com/store/msds?partNumber=AC446892500&productDescription=magnesium-sulfate-kg&vendorId=VN00032119&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,A-4,g,,,150,"Keep containers tightly closed in a dry, cool and well-ventilated place. Incompatible Materials. Strong oxidizing agents.",
Manganese(IV) oxide,MnO2,Manganese dioxide,,Fisher,,,1313-13-9,Metal-containing compound,,Warning,"May cause damage to organs
Harmful if swallowed","CA, IR",https://www.fishersci.com/store/msds?partNumber=AC222580025&productDescription=manganese-iv-oxide--gr&vendorId=VN00032119&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,A-4,g,,,200,"Keep containers tightly closed in a dry, cool and well-ventilated place. Incompatible Materials. Reducing Agent. Finely powdered metals.",
Potassium chlorate,ClKO3,"Berthollet`s Salt
Chlorate of Potash
Salt of Tarter",,Fisher,,,3811-04-9,Metal-containing compound,,Danger,"May cause fire or explosion; strong Oxidizer
Toxic if swallowed
Harmful if inhaled","OX, AC, IR",https://www.fishersci.com/store/msds?partNumber=P212100&productDescription=pot-chlorate-cert-acs-g&vendorId=VN00033897&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,A-4,lbs,,,3,"Keep in a dry, cool and well-ventilated place. Keep container tightly closed. Do not store near combustible materials. Keep containers tightly closed in a dry, cool and well-ventilated place. Incompatible Materials. Acids. Alcohols. Strong reducing agents. Hydrocarbons. Organic materials. Finely powdered metals. Combustible material.",
Potassium chloride,ClK,KCl (Crystalline/Certified ACS/USP/FCC/EP/BP/JP),,Fisher,,,7447-40-7,Metal-containing compound,,None,None Identified,[],https://www.fishersci.com/store/msds?partNumber=P2173&productDescription=pot-chloride-cert-acs-kg&vendorId=VN00033897&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,A-4,g,,,50,"Keep containers tightly closed in a dry, cool and well-ventilated place. Incompatible Materials. Strong oxidizing agents.",
Potassium chloride,ClK,KCl (Crystalline/Certified ACS/USP/FCC/EP/BP/JP),,Fisher,,,7447-40-7,Metal-containing compound,,None,None Identified,[],https://www.fishersci.com/store/msds?partNumber=P2173&productDescription=pot-chloride-cert-acs-kg&vendorId=VN00033897&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,A-4,g,,,50,"Keep containers tightly closed in a dry, cool and well-ventilated place. Incompatible Materials. Strong oxidizing agents.",
Potassium chromate,CrK2O4,"Chromate of potassium
Chromic acid, dipotassium salt
Neutral .",,Fisher,,,7789-00-6,Metal-containing compound,,Danger,"Causes skin irritation
Causes serious eye irritation
May cause an allergic skin reaction
May cause respiratory irritation
May cause genetic defects
May cause cancer
May cause damage to organs","IR, CA",https://www.fishersci.com/store/msds?partNumber=AA1261022&productDescription=potassium-chromate-acs-g&vendorId=VN00024248&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,A-4,g,,,100,"Keep containers tightly closed in a dry, cool and well-ventilated place. Do not store near combustible materials. Incompatible Materials. Organic materials. Reducing Agent.",
Potassium chromate,CrK2O4,"Chromate of potassium
Chromic acid, dipotassium salt
Neutral .",,Fisher,,,7789-00-6,Metal-containing compound,,Danger,"Causes skin irritation
Causes serious eye irritation
May cause an allergic skin reaction
May cause respiratory irritation
May cause genetic defects
May cause cancer
May cause damage to organs","IR, CA",https://www.fishersci.com/store/msds?partNumber=AA1261022&productDescription=potassium-chromate-acs-g&vendorId=VN00024248&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,A-4,g,,,100,"Keep containers tightly closed in a dry, cool and well-ventilated place. Do not store near combustible materials. Incompatible Materials. Organic materials. Reducing Agent.",
Potassium chromate,CrK2O4,"Chromate of potassium
Chromic acid, dipotassium salt
Neutral .",,Fisher,,,7789-00-6,Metal-containing compound,,Danger,"Causes skin irritation
Causes serious eye irritation
May cause an allergic skin reaction
May cause respiratory irritation
May cause genetic defects
May cause cancer
May cause damage to organs","IR, CA",https://www.fishersci.com/store/msds?partNumber=AA1261022&productDescription=potassium-chromate-acs-g&vendorId=VN00024248&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,A-4,g,,,100,"Keep containers tightly closed in a dry, cool and well-ventilated place. Do not store near combustible materials. Incompatible Materials. Organic materials. Reducing Agent.",
Potassium chromate,CrK2O4,"Chromate of potassium
Chromic acid, dipotassium salt
Neutral .",,Fisher,,,7789-00-6,Metal-containing compound,,Danger,"Causes skin irritation
Causes serious eye irritation
May cause an allergic skin reaction
May cause respiratory irritation
May cause genetic defects
May cause cancer
May cause damage to organs","IR, CA",https://www.fishersci.com/store/msds?partNumber=AA1261022&productDescription=potassium-chromate-acs-g&vendorId=VN00024248&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,A-4,g,,,100,"Keep containers tightly closed in a dry, cool and well-ventilated place. Do not store near combustible materials. Incompatible Materials. Organic materials. Reducing Agent.",
Sodium Iodide (Certified),INa,"Sodium Monoiodide
Sodium Iodine
Anayodin.",,Sigma-Aldrich,,,7681-82-5,Metal-containing compound,,Danger,"Causes skin irritation
Causes serious eye irritation
Causes damage to organs","IR, CA",https://www.fishersci.com/store/msds?partNumber=S324500&productDescription=sodium-iodide-certified-g&vendorId=VN00033897&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,A-5,g,,,500,"Keep containers tightly closed in a dry, cool and well-ventilated place. Store under an inert atmosphere. Keep under nitrogen. Air sensitive. Protect from sunlight. Incompatible Materials. Strong oxidizing agents. Strong acids. Finely powdered metals.",
"Potassium hydrogen phthalate, primary standard",C8H5KO4,"Potassium acid phthalate
Potassium biphthalate",,Thermo,,,877-24-7,Metal-containing compound,,None,None Identified,[],https://www.fishersci.com/store/msds?partNumber=AA3335130&productDescription=pot-hydrn-pthalat-ry-std-g&vendorId=VN00024248&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,A-5,g,,,500,"Keep containers tightly closed in a dry, cool and well-ventilated place. Incompatible Materials. Strong oxidizing agents.",
"Potassium hydrogen phthalate, primary standard",C8H5KO4,"Potassium acid phthalate
Potassium biphthalate",,Thermo,,,877-24-7,Metal-containing compound,,None,None Identified,[],https://www.fishersci.com/store/msds?partNumber=AA3335130&productDescription=pot-hydrn-pthalat-ry-std-g&vendorId=VN00024248&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,A-5,g,,,500,"Keep containers tightly closed in a dry, cool and well-ventilated place. Incompatible Materials. Strong oxidizing agents.",
Potassium iodide,IK,"Knollide
Potide",,Thermo,,,7681-11-0,Metal-containing compound,,Danger,Causes damage to organs,CA,https://www.fishersci.com/store/msds?partNumber=AAA127040I&productDescription=potassium-iodide-kg&vendorId=VN00024248&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,A-5,g,,,250,"Keep containers tightly closed in a dry, cool and well-ventilated place. Protect from direct sunlight. To maintain product quality. Store under an inert atmosphere. Air sensitive. Incompatible Materials. Strong oxidizing agents.",
Potassium iodide,IK,"Knollide
Potide",,Thermo,,,7681-11-0,Metal-containing compound,,Danger,Causes damage to organs,CA,https://www.fishersci.com/store/msds?partNumber=AAA127040I&productDescription=potassium-iodide-kg&vendorId=VN00024248&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,A-5,g,,,250,"Keep containers tightly closed in a dry, cool and well-ventilated place. Protect from direct sunlight. To maintain product quality. Store under an inert atmosphere. Air sensitive. Incompatible Materials. Strong oxidizing agents.",
Potassium nitrate,KNO3,"Saltpeter.
Nitric acid potassium salt
Niter",,Thermo,,,7757-79-1,Metal-containing compound,,None,, ,https://www.fishersci.com/store/msds?partNumber=AAA145270E&productDescription=potassium-nitrate-g&vendorId=VN00024248&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,A-5,g,,,500,"Keep containers tightly closed in a dry, cool and well-ventilated place. Do not store near combustible materials. Incompatible Materials. Strong reducing agents. Strong acids. Combustible material.",
Potassium nitrate,KNO3,"Saltpeter.
Nitric acid potassium salt
Niter",,Thermo,,,7757-79-1,Metal-containing compound,,None,, ,https://www.fishersci.com/store/msds?partNumber=AAA145270E&productDescription=potassium-nitrate-g&vendorId=VN00024248&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,A-5,g,,,500,"Keep containers tightly closed in a dry, cool and well-ventilated place. Do not store near combustible materials. Incompatible Materials. Strong reducing agents. Strong acids. Combustible material.",
Potassium nitrite,KNO2,"Nitrous acid, potassium salt.",,Fisher,,,7758-09-0,Metal-containing compound,,Danger,"May form combustible dust in air
May intensify fire; oxidizer
Toxic if swallowed","OX, AC",https://www.fishersci.com/store/msds?partNumber=AC222700010&productDescription=potassium-nitrite-gr&vendorId=VN00032119&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,A-5,g,,,250,"Keep containers tightly closed in a dry, cool and well-ventilated place. Do not store near Health 2 Flammability 1 Instability 2 Physical hazards OX    combustible materials. Incompatible Materials. Organic materials. Acids. Amines. Strong reducing agents. Cyanides. Metals. Finely powdered metals. Combustible material.",
Potassium nitrite,KNO2,"Nitrous acid, potassium salt.",,Fisher,,,7758-09-0,Metal-containing compound,,Danger,"May form combustible dust in air
May intensify fire; oxidizer
Toxic if swallowed","OX, AC",https://www.fishersci.com/store/msds?partNumber=AC222700010&productDescription=potassium-nitrite-gr&vendorId=VN00032119&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,A-5,g,,,250,"Keep containers tightly closed in a dry, cool and well-ventilated place. Do not store near Health 2 Flammability 1 Instability 2 Physical hazards OX    combustible materials. Incompatible Materials. Organic materials. Acids. Amines. Strong reducing agents. Cyanides. Metals. Finely powdered metals. Combustible material.",
Potassium permanganate,KMnO4,No information available,,Fisher,,,7722-64-7,Metal-containing compound,,Danger,"May intensify fire; oxidizer
Harmful if swallowed
Causes severe skin burns and eye damage
May cause respiratory irritation
Suspected of damaging the unborn child
May cause damage to organs","OX, IR, CO, CA",https://www.fishersci.com/store/msds?partNumber=AA1430736&productDescription=pot-permanganate-acs-g&vendorId=VN00024248&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,A-5,g,,,250,"Keep containers tightly closed in a dry, cool and well-ventilated place. Corrosives area. Do not store near combustible materials. Incompatible Materials. Reducing Agent. Strong acids. Strong reducing agents. Combustible material.",
Potassium permanganate,KMnO4,No information available,,Fisher,,,7722-64-7,Metal-containing compound,,Danger,"May intensify fire; oxidizer
Harmful if swallowed
Causes severe skin burns and eye damage
May cause respiratory irritation
Suspected of damaging the unborn child
May cause damage to organs","OX, IR, CO, CA",https://www.fishersci.com/store/msds?partNumber=AA1430736&productDescription=pot-permanganate-acs-g&vendorId=VN00024248&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,A-5,g,,,250,"Keep containers tightly closed in a dry, cool and well-ventilated place. Corrosives area. Do not store near combustible materials. Incompatible Materials. Reducing Agent. Strong acids. Strong reducing agents. Combustible material.",
Potassium thiocyanate,CKNS,"Potassium rhodanate
Potassium sulfocyanate
Potassium sulfocyanide
Potassium isothiocyanate (Crystalline/Certified ACS)",,JT Baker,,,333-20-0,Metal-containing compound,,Warning,Harmful if swallowed,IR,https://www.fishersci.com/store/msds?partNumber=P317500&productDescription=pot-thiocyanate-cert-acs-g&vendorId=VN00000001&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,A-5,lb,,,0.5,"Keep containers tightly closed in a dry, cool and well-ventilated place. Keep away from acids. Incompatible Materials. Strong oxidizing agents. Acids. Strong bases.",
Potassium thiocyanate,CKNS,"Potassium rhodanate
Potassium sulfocyanate
Potassium sulfocyanide
Potassium isothiocyanate (Crystalline/Certified ACS)",,JT Baker,,,333-20-0,Metal-containing compound,,Warning,Harmful if swallowed,IR,https://www.fishersci.com/store/msds?partNumber=P317500&productDescription=pot-thiocyanate-cert-acs-g&vendorId=VN00000001&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,A-5,lb,,,0.5,"Keep containers tightly closed in a dry, cool and well-ventilated place. Keep away from acids. Incompatible Materials. Strong oxidizing agents. Acids. Strong bases.",
